timestamp,open,high,low,close,volume,turnover
1745687700000,0.009735,0.009735,0.009735,0.009735,0,0
1745686800000,0.009735,0.009735,0.009735,0.009735,0,0
1745685900000,0.009735,0.009735,0.009735,0.009735,0,0
1745685000000,0.009735,0.009735,0.009735,0.009735,0,0
1745684100000,0.009735,0.009735,0.009735,0.009735,0,0
1745683200000,0.009735,0.009735,0.009735,0.009735,0,0
1745682300000,0.009735,0.009735,0.009735,0.009735,0,0
1745681400000,0.009735,0.009735,0.009735,0.009735,0,0
1745680500000,0.009735,0.009735,0.009735,0.009735,0,0
1745679600000,0.009735,0.009735,0.009735,0.009735,0,0
1745678700000,0.009735,0.009735,0.009735,0.009735,0,0
1745677800000,0.009735,0.009735,0.009735,0.009735,0,0
1745676900000,0.009735,0.009735,0.009735,0.009735,0,0
1745676000000,0.009735,0.009735,0.009735,0.009735,0,0
1745675100000,0.009735,0.009735,0.009735,0.009735,0,0
1745674200000,0.009735,0.009735,0.009735,0.009735,0,0
1745673300000,0.009735,0.009735,0.009735,0.009735,0,0
1745672400000,0.009735,0.009735,0.009735,0.009735,0,0
1745671500000,0.009735,0.009735,0.009735,0.009735,0,0
1745670600000,0.009735,0.009735,0.009735,0.009735,0,0
1745669700000,0.009735,0.009735,0.009735,0.009735,0,0
1745668800000,0.009735,0.009735,0.009735,0.009735,0,0
1745667900000,0.009735,0.009735,0.009735,0.009735,0,0
1745667000000,0.009735,0.009735,0.009735,0.009735,0,0
1745666100000,0.009735,0.009735,0.009735,0.009735,0,0
1745665200000,0.009735,0.009735,0.009735,0.009735,0,0
1745664300000,0.009735,0.009735,0.009735,0.009735,0,0
1745663400000,0.009735,0.009735,0.009735,0.009735,0,0
1745662500000,0.009735,0.009735,0.009735,0.009735,0,0
1745661600000,0.009735,0.009735,0.009735,0.009735,0,0
1745660700000,0.009735,0.009735,0.009735,0.009735,0,0
1745659800000,0.009735,0.009735,0.009735,0.009735,0,0
1745658900000,0.009735,0.009735,0.009735,0.009735,0,0
